Identifiant d’acte,Type d’acte,Id Personne A,Id Personne B,Commune,Date,Num Vue
225,Mariage,186,4160,4,1768-01-19,65/189
226,Mariage,190,4658,109,1688-06-30,44/044
227,Mariage,187,4689,249,1709-08-28,55/071
228,Mariage,191,4903,248,1845-04-09,149/293
229,Mariage,190,5144,114,1813-11-24,384/388
230,Mariage,190,5364,350,1708-02-20,3/027
231,Mariage,190,5375,162,1820-02-09,13/491
232,Mariage,190,5927,37,1623-02-13,16/069
233,Mariage,190,6962,272,1757-11-08,44/230
234,Mariage,190,7059,205,1687-06-26,133/387
235,Mariage,190,7510,148,1825-11-21,374/381
236,Mariage,189,8014,63,1740-02-23,18/024
237,Mariage,190,8081,120,,19/058
238,Mariage,190,8293,253,1687-02-05,13/156
239,Mariage,190,8294,138,1693-07-07,3/006
240,Mariage,180,6821,238,1884-07-29,66/167
241,Mariage,182,5530,45,1806-11-05,226/460
242,Mariage,181,8083,366,1777-02-04,n/a
243,Mariage,184,3914,328,1837-06-14,254/349
244,Mariage,183,8281,70,1855-11-26,8/123
245,Mariage,185,4695,233,1773-02-10,n/a
246,Mariage,192,4449,350,,11/131
247,Mariage,198,3993,332,1771-01-15,102/189
248,Mariage,202,4306,260,1765-02-12,3/096
249,Mariage,202,4565,114,1745-09-04,n/a
250,Mariage,201,4620,31,1730-06-27,112/167
251,Mariage,202,4659,62,1744-01-28,40/215
252,Mariage,202,4687,272,1760-02-18,105/230
253,Mariage,202,4891,148,1780-10-17,160/184
254,Mariage,196,5082,63,1765-04-23,41/338
255,Mariage,202,5305,120,1825-11-08,178/353
256,Mariage,202,5537,272,1767-06-22,26/216
257,Mariage,202,5551,276,1778-11-24,137/178
258,Mariage,202,5699,120,1853-05-10,267/379
259,Mariage,197,6101,131,,n/a
260,Mariage,199,6325,233,1739-02-10,19
261,Mariage,202,6601,148,1790-09-06,125/151
262,Mariage,200,6989,97,1773-01-19,61/167
263,Mariage,203,7223,162,1787-02-19,23/054
264,Mariage,203,7339,45,1812-07-29,163/413
265,Mariage,203,7397,62,1843-02-21,263/420
266,Mariage,202,7666,151,,48/142
267,Mariage,203,8074,366,1748-11-06,101/319
268,Mariage,203,8079,366,1744-02-17,57/319
269,Mariage,195,8155,366,1764-02-08,n/a
270,Mariage,193,5021,45,1866-10-09,142/172
271,Mariage,194,6563,45,1847-05-05,59/090
272,Mariage,205,8099,237,1636-07-23,17/022
273,Mariage,206,3678,164,1755-07-08,50/068
274,Mariage,207,4944,102,1765-06-18,134/136
275,Mariage,207,5413,102,1806-01-21,96/135
276,Mariage,207,6781,237,1610-11-07,2/022
277,Mariage,207,7849,162,1833-07-10,226/303
278,Mariage,207,8234,102,,104/128
279,Mariage,208,6792,238,1815-11-06,499/535
280,Mariage,209,5861,196,1735-08-17,n/a
281,Mariage,210,5154,366,1753-11-13,162/319
282,Mariage,222,3674,4,1792-10-30,13/19
283,Mariage,223,3888,320,1828-07-07,180/253
284,Mariage,222,4203,131,,26/028
285,Mariage,223,4633,67,1857-11-03,26/148
286,Mariage,222,5325,253,1834-09-17,207/216
287,Mariage,216,5705,157,1739-02-09,206/226
288,Mariage,222,5817,237,1624-09-25,8/022
